2025-12-23 15:54:37,674 - bulk_onboarding - INFO - Reading clients from /Users/hynes/dev/website-agents/bulk_client_onboarding.csv
2025-12-23 15:55:41,067 - firestarter - INFO - create.do.trigger_reindex {'kb': '3c875506-e015-11f0-b074-4e013e2ddde4', 'client': 'on-the-marc-media'}
2025-12-23 15:55:41,067 - app.clients.digital_ocean_client - INFO - [DO] Triggering re-index for KB 3c875506-e015-11f0-b074-4e013e2ddde4 bucket mintleads-client-docs prefix 'on-the-marc-media/' via replace.
2025-12-23 15:55:41,373 - httpx - INFO - HTTP Request: GET https://api.digitalocean.com/v2/gen-ai/knowledge_bases/3c875506-e015-11f0-b074-4e013e2ddde4/data_sources "HTTP/1.1 200 OK"
2025-12-23 15:55:41,376 - app.clients.digital_ocean_client - INFO - [DO] Deleting old source 21f174f5-e03e-11f0-b074-4e013e2ddde4 for re-indexing...
2025-12-23 15:55:41,986 - httpx - INFO - HTTP Request: DELETE https://api.digitalocean.com/v2/gen-ai/knowledge_bases/3c875506-e015-11f0-b074-4e013e2ddde4/data_sources/21f174f5-e03e-11f0-b074-4e013e2ddde4 "HTTP/1.1 200 OK"
2025-12-23 15:55:43,988 - app.clients.digital_ocean_client - INFO - [DO] Adding fresh source for mintleads-client-docs/on-the-marc-media/
2025-12-23 15:55:44,290 - httpx - INFO - HTTP Request: GET https://api.digitalocean.com/v2/gen-ai/knowledge_bases/3c875506-e015-11f0-b074-4e013e2ddde4/data_sources "HTTP/1.1 200 OK"
2025-12-23 15:55:44,601 - httpx - INFO - HTTP Request: POST https://api.digitalocean.com/v2/gen-ai/knowledge_bases/3c875506-e015-11f0-b074-4e013e2ddde4/data_sources "HTTP/1.1 200 OK"
2025-12-23 15:55:44,605 - bulk_onboarding - INFO - Successfully processed on-the-marc-media
2025-12-23 15:55:44,605 - bulk_onboarding - INFO -   - Pages Processed: 122
2025-12-23 15:55:44,605 - bulk_onboarding - INFO -   - Drive Docs: 13
2025-12-23 15:55:44,605 - bulk_onboarding - INFO -   - Total Docs: 135
